Family Name,Initial Date of Admission
ABICONOLO,?
ABRAMO,1297
ACOTANTO,1297
ACQUISTI,1686
ADAMO,?
ADDOLDO,1310
AGADI,1297
AGRINAL,1310
AICARDO (HAICARDO),1297
ALBERTO,1297
ALBIRINGO,?
ALBIZZO,1297
ALBRIZZI,1667
AMBOISE,1501
AMIZZO,1297
ANGARAN,1655
ANGUSUOLA, 1499
ANSELMI,1412
ANTELMI,1646
ARDIZON,1297
DARDUIN,1297
ARIANI,1300
ARIBERTI,1655
ARIMONDO,1297
ARNALDI,1685
AVANZAGO,1297
AVENTURADO,?
AVOGADRO,1438
AVONAL,1300
BABILONIO,1298
BADOERO,1297
BAFFO,1297
BAGLIONI,1716
BALASTRI (BALESTRO),1311
BALBI,1297
BALESTRIERI,1301
BALUCHIN,?
BALZOLANI,?
BANBAZINI,?
BARBARAN,1665
BARBARIGO,1297
BARBARO,1297
BARBETTA,?
BARBETTO,?
BARBO,1297
BARBOLANI,?
BARISON,1317
BAROZZI,1297
BARZIZZA,1694
BASADONNA,1297
BASEGGIO,1297
BASODELLO,?
BATTAGIA,1439
BATTAGLIONI,1516
BELEGNO,1297, 1311
BELLONI,1646
BELLOTTO,1685
BEMBO,1297
BENADO,?
BENEDETTI,1297, 1303
BENETO,?
BENFIZI,1298
BENTIVOGLIO,1488
BENZON (S. Agostin),1407, 1484
BENZON (S. Vidal),1685
BEREGAN,1649
BERENGO,?
BERLENDIS,1662
BERNARDO,1297
BETANI,1297
BETTONI,1684
BIANCO,?
BIAQUA,?
BOCCAZO,1297
DALLE BOCCOLE,1300
BOLDO,?
BOLDU,1297
BOLLANI,1297
BOLPE,1297
BON,1297, 1381
BONALDI,?
BONCI (BONZI),1297
BONDUMIER,1297, 1303
BONFADINI,1648
BUONINSEGNA,1310
BONLINI,1667, 1685
BONOMO,1297
BONVICINI,1663
BORDINIGO,?
BORDOLO,?
BORINI,?
BORSELLI,?
BOSEBO,?
BOSSO,1297
BRAGADIN,1297
BRANDOLINI,1686
BRAZOLAN,1297
BREDANI,1381
BREGONZI,1665
BRESSA,1652
BRIANI,1297
BRIOSO (BRUGLOSO),1297
BRISI (BRIZI),1303
BRISTOLANI,?
BUORA,1297
BURICALDO,1297
BUSINAGO,1297
BUZZACCARINI,1782
CAISELLI,1779
CALBO,1297
CALERGI,1381, 1407
CANABRI,?
CANAL,1297
CANCANICO,?
CAOTORTA,1297, 1310, 1402
CAPPELLO,1297
CARAVELLO,1297
CARAZACANEVO,1297
CARBONIZZI,?
CARESINI,1381
CARMINATI,1687
CAROSO,1297, 1310
CASSETTI,1662
CASTELLI,1687
CASTEROTI,1416
CATTANIO,?
CATTI,1646
CAVAGNIS,1716
CAVALLI,1381
CAVALLIER,?
CELINI,1685
CELSI,1297
CERNOVICI,1473
CICOGNA,1381
CIVRAN,1297
COCCO,1297
COCODRIZI,?
CODEGLIONI (COLLEONE),1450
CODOGNOLA,1717
COLLALTO,1297, 1309
COMINO,1464
CONCANFO,?
CONDULMIERO,1381
CONTARINI,1297
CONTENTI,1686
CONTI,1667
COPPO,1297
CORNER,1297
CORREGGIO,1646
CORRER,1297
COSSAZZA,1423
COSTANTINO,1348
COTTONI,1699
CROCE,?
CROTTA,1649
CURTI,1688
D'EQUILO,1297
DA COMINO,1297, 1304
DA FANO,1297
DA MAR,1309
DA PORTO,1381
DAL SOL,1310
DALBORE,?
DALLA SCALA,1297
DALLE SEVOLE,1297
DANDOLO,1297
DANSELMO,?
ARMER,1297
DARPIN,1297
DARPO,?
DAVIDOR,1297
DAVILLO,?
DE LIA,?
DE MALIS,1300
DE VERARDO,1312
DEDDO,?
DELLA FRASCADA,1297
DELLI ASPINAL,?
DENTE,1310
DERETTI,1355
DI LORZO,?
DI PIGLI,1334
DI ROSSI,1423, 1482
DIEDO,1297
DIESELLO,1310
DIESENOVE,?
DOLCE,1658
DOLFIN,1297
DOLFINIGO,?
DON ZORZI,1297
DONADI,1311
DONDIOROLOGIO,1653
DONISDIO, ?
DONO,1297
DONATO,1297
DORO,1297
DOTTO (DOTHO),1297
DOZANE,1297
DRUSCO,?
DUODO,1297
EMO,1297
ENEGRO,?
ERIZZO,1297
FABRIZI,?
FACCIO,?
FALIERO,1297
FARAON,?
FARSETTI,1664
FAVERO,inizio '300
FERRAMOSCA,1648
FERRO,1297
FEXASONDA,?
FINI,1649
FIOLLO,?
FLANGINI,1664
FONDANIZI,?
FONSECA,1664
FONTANA (DALLA),1297
FONTE,1646
FORNASE (DALLA),1381
FOSCARI,1297
FOSCARINI,1297
FOSCOLO,1297
FRACASSETTI,1704
FRADELLO,1297
FRADELLO (di Candia),1493
FRANCESCHI,1716
FRANCO,?
FRANZAPANI,?
GABRIELLI,1297
GALAENZI,?
GALARESI,?
GALLINA,?
GALLO,1694
GAMBARA,1653
GAMBARIN,1297
GARZONI,1381
GEZO,1379
GHEDINI,1667
GHELTOFF,1697
GHERARDINI,1652
GHISI,1297
GIOVANELLI,1668
GIRARDI,1297
GIUPPONI,1660
GIUSTINIAN,1297
GOZZI,1646
GRADELON,1297
GRADENIGO,1297
GRASONI,1297
GRASSI,1718
GRIEGO (GREGO),1493
GRIMANI,1297
GRIONI,1297
GRISONI,1297
GRITTI,1297
GUATARDO,?
GUBERTO,1297
GUERRA,1689
GUGINO,?
GUORO,1381
GUSSONI,1297
HAOLDO,?
IACOLO,?
IALLINA,?
ISTRIGO,1297
LABIA,1646
LAGHI,1661
LAMBERTINI,?
LANDO,1297
LANZUOLI,1297
LAZZARI,1660
LEUCARI,1297
DA LEZZE,1297
LIN,1685
LION,1303
LION CAVAZZA,1652
LIPPOMANO,1381
LISIADO,?
LOLIN,1436
LOMBARDO,1297
LOMBRESCHI,?
LOMBRIA,1646
LONGO,1297, 1381
LOREDAN,1297
LUCCA,1654
LUGMA (LUGNANO),1297
LUPANADI,?
MACCARELLI,1648
MADEO,1297
MAFFETTI,1654
MAGANESI,dopo 1297
MAGGIO,?
MAGNO,1297
MAINA,1341
MAISTRORSO,1297
MALATESTA,1480,1503
MALAZA,?
MALIPIERO,1297
MANFROTTO,1698
MANIN,1651
MANOLESSO,1297
MANZONI,1687
MARANZIN,1297
MARCELLO,1297
MARCIPAGNI,?
MARCONI,?
MARIN,1297
MARIONI,1297
MARMORA,1303
MARONO,?
MARTINE,?
MARTINELLI,1646
MARTINENGO,1448
MASSOLI,1297
MASTALIZI,?
MATONO,?
MAZAMAN,1297
MAZARUOL,1297
MEDICI,1652
MELLI,1550
MEMMO,1297
MENEGATO,?
MENGOLO,1297, 1310
METTADORI,?
MEZZO,1297, 1381
MIANI,1297
MICHIEL,1297
MIEGANO,1297
MINELLI,1650
MINIO,1297
MINOTTO,1297
MOCENIGO,1297
MOLIN,1297, 1303
MORA (S. Felice),1694
MORA (S. Marcuola),1653, 1665
MORELLI,1686
MORO,1297, 1313
MOROSINI,1297
MORTADELLO,?
DA MOSTO,1297
MUAZZO,1297
DA MULA,1297
MUSSATTI,1776
MUSSOLINO,1297
NADAL,1297
NANI,1297, 1381
NAVAGER,1297
NAVE,1653
NAVIGROSO,1297
NEGRO,1381
NICOLA,1297
NOSADINI,1694
OBIZO,?
OGNIBEN,?
ONORADI,1297
ORIO,1297
ORSO,1381
OSELLO,?
OTTOBONI,1646
OTTOLINI,1780
PALLAVICINO,1423, 1427
PANCIERA,1777
PAPACIZA,1311
PAPAFAVA,1652
PARADISO,1297
PARUTA,1381
PASQUALIGO,1297, 1381
PASTA,1669
PATANI,?
PECIN,1381
PELIZZIOLI,1699
PENTOLO,?
PEPOLI,1338
PERSICO,1685
PESARO,1297
PIANEGA,1297
PIERO,1297
PINDEMONTE,1782
PINO,1297
PIOVENE,1654
PISANI,1297
PIZZAMANO,1297, 1381
POLANI,1297
POLINI,1300
POLO,1297
POLVARO,1662
DA PONTE,1493
PREMARIN,1297
PREMUDA, 1297
PRIULI, 1297
PROTTI,1403
QUERINI,1297
QUINTAVALLE,1297
RAGUSIO,?
RAMPANI,?
RANASO,?
RASPI,1662
RAVA,?
RAVAGNIN,1657
REBOLIN,?
RECANATI,1697
REDETTI,1698
REGIN,?
RENIER,1381
REZZONICO,1687
RIARIO,1481
DA RIVA,1297
RIZZI,1687
ROMANI,1297
ROMIERI,1689
ROSSI,1297, 1329
ROTA,1685
ROVERE,1512
ROVINI,1788
RUBINI,1646
RUZIER,1297
RUZZINI,1297
SABADIN,?
SAGREDO,1297
SALAMON,1297
SALLONESI,?
SANDI,1685
SANGIANTOFFETTI,1649
SANTASOFFIA,1649
SANUDO,1297
SAVELLO,1404
SAVIA,1297
SAVONER,1297
SAVORGNAN,1385
SCHOGOLO (SECOGOLO),1297
SCHONDOLER,?
SCLAVO,?
SCROFFA,1698
SELVO,1297
SEMENZI,1685
SEMITECOLO,1297
SENADORI,?
SESENDILLO,1297, 1310
SIGNOLO,1297
SISOLLA,?
SODERINI,1656
SORANZO,1297
SPATAFORA,1409
SPAZACANAL,?
SPINEDA,1776
SPINELLI,1718
STANIER,1297
STATIO,1653
STENO,1297
STORLADI,1297, 1381
STORNELLO,1311
STROBARDO,?
SURIAN,1297
TAGLIAPIETRA,1381
TASCA,1646
TERZI,1405
THOMADO,1297
TIEPOLO,1297
TINTO,?
TODERINI,1694
TALONICO,1297
TONISTO,?
TOTULO,1297
TRASMONDI,?
TRAVAIONTI,?
TRENTO,1777
TRIVISAN,1297
TREVISAN,1689
TRON,1297
TRUNZANE,?
VALARESSO,1297
VALIER,1297
VALMARANA,1658
VALPETRO,?
VAN AXEL,1665
VANERI,?
VARDA DA DIO,?
VEGLIA,1297
VENDELIN,1297
VENDRAMIN,1381
VENIER,1297
VENTOLO,?
VERDIZZOTTI,1667
VERI,1297
VERMO (DAL),1388, 1404
VERONESE,1704
VETIGRASSI,1297
VEZZI,1716
VIANI,1297
VIANOL,1658
VIARO,1297
VIDAL,1297
VIDOR,1310
VIELMO,1297
VITTURI,1297
VIZZAMANO,1381
VOLPE,1297
WIDMANN,1646
ZACCARIA,1381
ZACCO,1653
ZAGURI,1646
ZAMBELLI (S. Giac. dell'Orio),1648
ZAMBELLI (S. Stin),1685
ZANARDI,1653
ZANASI,?
ZANCANI,1297
ZANCARUOL,1297
ZANE,1297
ZANTANI,1297
ZAPOANI,?
ZARA (DA),1379
ZENO,1297
ZENOBIO,1647
ZIANI,?
ZINO,1718
ZOLIO,1656
ZON,1651
ZORBANI,?
ZORDANI,?
ZORZI,1297
ZULIAN,1297
ZUSTO,1297
